Naslov|Ime grupe|Kategorija|Regija izdanja|Izdavac|Pjesma|Trajanje (sekundi)|Ocjena
dictum eu, placerat eget,|Brett, Gisela, Elizabeth, Timon||Americas|auctor odio a|odio|247|Poor
aliquam|Shaine, Carissa, Daphne, Nicole|Jazz, Rap|Americas|lacus.|eu|212|Nothing Special
non,|Dante, Imogene, Jocelyn, Ebony|Indie|Europe|Cras|Sed|367|Pretty Cool
placerat eget,|Quemby, Keely, Demetrius, Sara||Asia|Donec feugiat|ac|322|Pretty Cool
orci. Phasellus dapibus|Oren, Gareth, Tyler, Abbot||Africa|Nulla facilisis.|Maecenas iaculis aliquet diam.|344|Pretty Cool
neque tellus, imperdiet non,|Jonas, Kevin, Jessamine, Audrey|Metal|Americas|molestie tellus. Aenean|varius orci, in consequat|200|Pretty Cool
ultricies ligula. Nullam enim.|Yoko, Jin, Abbot, Stephanie|Pop-rock|Africa|eget odio. Aliquam|tempor bibendum.|367|Poor
Suspendisse aliquet molestie tellus.|William, Ulysses, Yen, Patricia|Classic|Europe|lorem, vehicula et,|sodales. Mauris blandit enim|207|Poor
orci lacus vestibulum lorem,|Tanya, Charissa, Fatima, Ryan|Blues, Rap|Africa|magna nec|Donec fringilla. Donec|480|Poor
molestie. Sed id|Rooney, Bevis, Courtney
, Martin|Blues, Indie|Oceania|at pretium aliquet,|odio. Phasellus at|366|Nothing Special
luctus felis purus ac|Sylvester, Kaitlin, Aline, Kelly|Blues, Classic|Asia|turpis. In condimentum.|ultrices posuere cubilia Curae;|380|Worth Listening
nostra, per|Pamela, Keegan, Kathleen, Katelyn||Africa|Vestibulum ante ipsum|ornare, lectus|366|Poor
velit.|Illana, Halla, Cade, Sage|Metal|Oceania|orci. Donec|velit|224|Poor
at|Janna, Kimberly, Jordan, Noble|Indie, Pop-rock|Americas|Aenean sed|auctor vitae, aliquet nec,|466|Awesome!
amet,|Jesse, Nomlanga, Lillian, Justina|Pop-rock|Africa|risus. Quisque|lorem ut|311|Worth Listening
magna et|Yvette, Doris, Lane, Brock||Oceania|quam a|enim diam|484|Poor
nisi. Mauris nulla.|Claudia, Zelda, Elizabeth, Leila|Jazz|Africa|rutrum|Duis a|446|Nothing Special
diam|Palmer, Keelie, Melanie, Ingrid|Jazz, Metal|Oceania|Donec|nec urna et arcu|456|Worth Listening
eu|Aphrodite, Dennis, Larissa, Carla||Americas|eu,|consequat|421|Pretty Cool
eget|Tanner, Doris, Kirsten, Aspen|Blues|Europe|id|dignissim lacus. Aliquam rutrum|322|Worth Listening
dictum cursus. Nunc|Ivy, Brynn, Noble, Kerry|Jazz, Indie|Oceania|auctor. Mauris|amet ultricies sem magna|277|Nothing Special
Nulla interdum.|Forrest, Zane, Hedley, Ulric||Oceania|sem|et, eros. Proin|414|Pretty Cool
Integer eu|Tobias, Idola, Dorian, Darrel|Classic|Europe|consequat enim diam|accumsan neque et|468|Awesome!
lectus ante dictum mi,|Mechelle, Jasper, Travis, Yolanda||Europe|Duis sit amet|tincidunt aliquam arcu. Aliquam|394|Awesome!
a, arcu.|Octavius, Alana, Kristen, Kamal|Blues, Rap|Africa|mauris, aliquam eu,|tellus faucibus leo,|426|Poor
dui quis|Amery, Odette, Beverly, Jaden|Rap, Classic|Africa|ut, pellentesque eget,|primis in|455|Poor
vulputate, nisi sem|Oscar, Derek, Inga, Constance|Classic, Blues|Africa|eu|ipsum|459|Worth Listening
Cum|Lucian, Kelsie, Hu, Cadman|Jazz|Asia|est arcu|Nunc mauris sapien, cursus|363|Nothing Special
Donec luctus aliquet|Griffith, Wynne, Linda, Jackson|Blues|Africa|in faucibus|pede. Suspendisse dui. Fusce|401|Pretty Cool
libero.|Tanek, Steven, Price, Mallory|Metal|Africa|Donec|massa. Mauris|336|Worth Listening
Ut semper pretium neque.|Lance, Ezekiel, Ocean, Quynn|Blues, Pop-rock|Africa|dolor.|ipsum ac mi eleifend|495|Pretty Cool
vitae, posuere at, velit.|Joan, Britanney, Candice, Ezekiel|Rap, Classic|Asia|eget,|gravida sit amet, dapibus|250|Worth Listening
vel, mauris.|Colleen, Preston, Elaine, Aquila||Oceania|nunc sed libero.|turpis vitae purus|499|Awesome!
amet, consectetuer adipiscing|Mari, Malachi, Rogan, Breanna|Jazz|Oceania|arcu. Curabitur ut|ligula consectetuer rhoncus. Nullam|412|Worth Listening
erat volutpat. Nulla facilisis.|Chester, Steven, Akeem, Quinn|Classic, Pop-rock|Africa|et malesuada|ut, pellentesque eget,|310|Pretty Cool
a ultricies|Phillip, Marah, Meredith, Margaret|Indie|Americas|at pretium aliquet,|iaculis nec, eleifend non,|245|Poor
taciti sociosqu ad litora|Genevieve, Cyrus, Brielle, Pandora||Europe|Morbi sit|Nam ligula|296|Worth Listening
convallis erat,|Gloria, Ava, Driscoll, Gage|Indie|Africa|consequat,|felis|291|Nothing Special
mauris ut mi. Duis|Iola, Chester, Odessa, Ramona|Blues, Jazz|Europe|ipsum|varius|339|Awesome!
in|Colette, Signe, Indigo, Cheyenne|Jazz, Pop-rock|Oceania|pede|In nec|405|Nothing Special
dolor. Fusce|Belle, Teagan, Kennedy, Cheryl||Asia|Cras|dictum. Proin eget odio.|281|Pretty Cool
Integer mollis. Integer tincidunt|Selma, Lunea, Harper, Cooper|Rap|Africa|Maecenas|vel,|411|Pretty Cool
aliquet diam. Sed diam|Giacomo, Melinda, Edward, Celeste|Indie, Blues|Europe|amet, consectetuer|nisl sem,|382|Poor
Suspendisse|Jada, Marny, Whilemina, Jacob||Africa|rhoncus. Proin|malesuada|478|Poor
semper erat,|Dale, Boris, Malachi, Genevieve|Pop-rock, Rap|Africa|malesuada vel, convallis|sagittis lobortis|355|Awesome!
In faucibus. Morbi|Rhonda, Zia, Beck, Donovan|Jazz, Pop-rock|Asia|purus|nunc nulla vulputate dui,|296|Nothing Special
lorem,|Slade, Sacha, Ryder, Kalia||Asia|egestas blandit.|Nam ac nulla.|356|Awesome!
massa. Integer vitae nibh.|Ayanna, Megan, Duncan, Colt|Jazz|Oceania|enim consequat purus.|Nunc sed orci|406|Worth Listening
libero. Proin|Felix, Tatyana, Iona, Carter||Oceania|inceptos hymenaeos. Mauris|at pretium|451|Worth Listening
Cras vehicula|Aphrodite, Nora, Clark, Joel|Metal, Rap|Africa|at|lectus pede, ultrices|225|Poor
vel est|Phillip, Petra, Leslie, Cora||Africa|In nec|nunc interdum feugiat.|493|Worth Listening
quis,|Quinlan, Genevieve, Ulric, Celeste|Rap, Blues|Europe|Donec est.|lectus|394|Awesome!
primis in faucibus orci|Dominique, Leila, Ignatius, Dylan|Metal|Oceania|fringilla cursus purus.|enim nisl elementum purus,|293|Pretty Cool
odio. Nam|Buckminster, Moana, Illiana, Briar|Blues, Indie|Americas|ante dictum cursus.|tristique senectus et netus|369|Poor
justo|Francesca, Karyn, Olympia, Merritt|Indie|Africa|lectus|neque tellus, imperdiet|297|Nothing Special
placerat eget, venenatis|Alexandra, Brittany, Hunter, Alyssa|Rap, Metal|Americas|non, sollicitudin a,|ante bibendum ullamcorper.|490|Poor
In|Ryan, Harriet, Hoyt, Kerry||Americas|luctus|sit amet,|353|Pretty Cool
amet, consectetuer|Sage, Blossom, Ivory, Ashton||Europe|ut eros|id risus quis diam|429|Nothing Special
arcu. Curabitur|Zia, Grace, Gay, Jordan||Oceania|eu nulla|nisl elementum purus,|216|Nothing Special
fermentum convallis|Amaya, Jena, Dante, Erica|Metal, Classic|Europe|tristique|lacus. Cras interdum.|405|Nothing Special
posuere|Laith, Xavier, Katell, Tasha|Pop-rock, Indie|Americas|Morbi vehicula. Pellentesque|mauris id sapien.|321|Pretty Cool
euismod ac, fermentum|Aline, Sybill, Wyatt, Charlotte||Americas|enim.|vehicula risus. Nulla|478|Awesome!
ridiculus mus. Aenean|Cole, Mechelle, Lee, Tasha|Pop-rock|Africa|et magnis dis|a, magna. Lorem|321|Worth Listening
est ac|Cameron, Wesley, Robin, Sloane|Blues|Africa|ipsum cursus vestibulum.|dignissim|325|Pretty Cool
pharetra|Yoshi, Bernard, Robert, Drake|Classic, Indie|Asia|aliquam eros turpis|Integer|422|Nothing Special
penatibus et|Amaya, Kermit, Elaine, Brett|Metal|Asia|a purus. Duis|elit, pellentesque a,|484|Pretty Cool
eu nulla|Ruth, Carissa, Keaton, Colton|Pop-rock, Rap|Africa|ac orci. Ut|sem elit,|292|Poor
vitae, sodales|Dacey, Justine, Charlotte, Kenneth|Jazz|Europe|Mauris|Aliquam auctor, velit eget|263|Poor
In|Angela, Ursula, Halla, Hu||Americas|parturient montes,|libero|479|Pretty Cool
vestibulum, neque sed|Reese, Arden, Armand, Rhoda|Indie, Pop-rock|Europe|vulputate dui, nec|urna convallis erat, eget|240|Pretty Cool
Duis|Oprah, Yoshio, Hadley, Eve|Metal|Asia|sapien,|neque|387|Awesome!
lacinia mattis. Integer eu|Zeph, Amaya, Carissa, Cora||Europe|id, blandit at,|sem.|261|Worth Listening
sed,|Rogan, Jana, Brandon, Mira||Europe|Aliquam ultrices|eleifend.|441|Poor
lacus.|Callum, Jescie, Akeem, Castor|Pop-rock, Metal|Asia|elementum purus,|sem ut cursus luctus,|244|Pretty Cool
nunc|Uma, Sonya, Aspen, Amity|Classic, Blues|Asia|placerat velit.|a,|394|Worth Listening
ante|Declan, Latifah, Constance, Eden|Pop-rock, Jazz|Asia|Duis cursus,|magna. Ut tincidunt|362|Nothing Special
fringilla ornare placerat,|Dieter, Dillon, Nasim, Jada|Metal|Oceania|feugiat.|magna|476|Awesome!
semper pretium neque. Morbi|Brianna, Madison, Vielka, Peter||Asia|ante,|dolor. Donec fringilla.|464|Nothing Special
Proin sed turpis nec|Lionel, Florence, Nelle, Isabella||Europe|Quisque|facilisis non,|243|Poor
Mauris molestie pharetra nibh.|Holly, September, Leroy, Cody|Metal|Oceania|cursus. Integer mollis.|et ipsum|253|Worth Listening
sem|Amena, Tatiana, Illiana, Talon||Oceania|diam.|Donec non justo.|311|Poor
Mauris vestibulum, neque sed|Astra, Griffin, Kane, Erich||Asia|Duis|Sed congue, elit|294|Nothing Special
bibendum. Donec|Uriel, Christen, Imogene, Raymond|Metal|Americas|sollicitudin adipiscing|primis in faucibus|385|Awesome!
consequat auctor, nunc|Kaitlin, Nyssa, Zahir, Vielka||Americas|Vestibulum accumsan|scelerisque dui.|293|Nothing Special
ante. Nunc mauris|Mechelle, Renee, Aline, Grace|Rap|Americas|posuere, enim nisl|pharetra, felis|281|Poor
urna.|Micah, Urielle, Yvette, Genevieve|Pop-rock|Asia|odio. Phasellus|risus,|365|Awesome!
massa|Malik, Pandora, Erich, Molly|Indie|Americas|nulla at sem|Aliquam ornare,|345|Awesome!
massa|Malik, Pandora, Erich, Molly|Indie|Americas|nulla at sem|risus,|345|Awesome!
