Naslov rada|Autor|Kategorija|Podrucje|Izdavac|Jezik|Recenzija|Datum izdanja
nec ante. Maecenas|Rudyard French|Rad u casopisu|Energetika|aliquet|Hrvatski|Medjunarodna|21.11.1997
euismod et, commodo|Preston Hutchinson|Rad u casopisu|Akustika|magna. Cras|Hrvatski|Nema|14.07.1999
Aliquam nec enim. Nunc|Basil Mccarthy|Zavrsni rad|Elektrotehnika|Quisque|Hrvatski|Domaca|05.06.2004
sapien. Cras dolor dolor,|Neville Glover|Sudjelovanje na skupu|Racunarstvo|sapien. Aenean massa.|Hrvatski|Medjunarodna|21.07.2001
volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus|Walker Newman|Sudjelovanje na skupu|Energetika|varius|Hrvatski|Nema|06.01.2000
ante blandit viverra. Donec tempus, lorem fringilla ornare|Rigel Watson|Knjiga|Akustika|sit|Hrvatski|Domaca|21.07.1998
auctor, velit eget laoreet posuere, enim nisl elementum purus,|Marshall Woods|Sudjelovanje na skupu|Energetika|mollis. Integer|Hrvatski|Domaca|05.08.1996
imperdiet,|Richard Spencer|Rad u casopisu|Akustika|sed sem|Hrvatski|Domaca|22.06.1998
blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus|Barclay Burch|Knjiga|Telekomunikacije|lobortis quam|Hrvatski|Nema|06.01.2006
a, enim. Suspendisse|Knox Hunt|Knjiga|Telekomunikacije|feugiat. Lorem|Hrvatski|Medjunarodna|06.08.2002
sed tortor.|Kevin Snow|Rad u casopisu|Telekomunikacije|auctor,|Hrvatski|Medjunarodna|09.11.1997
libero lacus, varius|Charles Tyler|Knjiga|Telekomunikacije|orci,|Hrvatski|Medjunarodna|13.05.2004
pharetra. Quisque ac libero nec ligula|Hunter Sandoval|Knjiga|Racunarstvo|metus sit amet|Hrvatski|Medjunarodna|17.08.2004
nec,|Ferdinand Rivas|Zavrsni rad|Elektrotehnika|metus.|Hrvatski|Medjunarodna|21.05.1995
ligula. Aenean euismod mauris eu elit. Nulla|Evan Hicks|Knjiga|Energetika|eu|Hrvatski|Nema|25.12.2006
faucibus orci luctus et|Graiden Schwartz|Knjiga|Strojarstvo|luctus et ultrices|Hrvatski|Domaca|02.05.1998
dolor elit,|Michael Sanders|Rad u casopisu|Elektrotehnika|tellus. Phasellus elit|Hrvatski|Domaca|31.08.2006
id ante dictum cursus. Nunc|Asher Burton|Doktorat|Elektrotehnika|tincidunt|Hrvatski|Medjunarodna|29.10.2004
Vestibulum|Abel Hinton|Zavrsni rad|Akustika|gravida non, sollicitudin|Hrvatski|Nema|22.02.2005
Quisque porttitor|Cade Christensen|Knjiga|Elektrotehnika|ut nisi|Hrvatski|Nema|02.03.2005
sit amet, consectetuer adipiscing elit.|Donovan Knox|Rad u casopisu|Strojarstvo|pharetra|Hrvatski|Domaca|24.01.2005
facilisis lorem|Norman Sanders|Doktorat|Akustika|gravida|Hrvatski|Nema|07.07.2004
tortor, dictum eu, placerat eget,|Quinlan Castro|Zavrsni rad|Strojarstvo|lorem, vehicula|Hrvatski|Domaca|08.01.2003
in felis. Nulla tempor|Omar Acevedo|Sudjelovanje na skupu|Energetika|scelerisque mollis.|Hrvatski|Domaca|09.04.2001
justo faucibus lectus,|Zephania Bright|Doktorat|Telekomunikacije|Ut|Hrvatski|Nema|02.10.1997
varius. Nam porttitor scelerisque neque. Nullam|Abel Riley|Zavrsni rad|Energetika|bibendum. Donec|Hrvatski|Domaca|09.10.2003
amet, consectetuer adipiscing elit. Curabitur sed|Oliver Knight|Doktorat|Akustika|neque|Hrvatski|Domaca|25.03.2004
Maecenas ornare egestas ligula. Nullam feugiat placerat velit.|Marshall Velazquez|Knjiga|Strojarstvo|magna|Hrvatski|Nema|22.01.2001
Donec tincidunt. Donec vitae erat vel|Jin Cline|Knjiga|Akustika|Mauris|Hrvatski|Nema|27.09.2000
aliquet odio. Etiam ligula|Kennedy Stevens|Zavrsni rad|Strojarstvo|augue, eu|Hrvatski|Domaca|06.01.2005
pharetra.|Hoyt Roth|Zavrsni rad|Elektrotehnika|pede, malesuada|Hrvatski|Domaca|11.07.2000
a, auctor non, feugiat nec, diam.|Nero Oneil|Sudjelovanje na skupu|Energetika|ac|Hrvatski|Domaca|08.01.2003
erat, in consectetuer ipsum nunc id enim. Curabitur massa.|Malachi Church|Rad u casopisu|Telekomunikacije|amet luctus vulputate,|Hrvatski|Medjunarodna|14.11.2005
molestie. Sed id risus quis diam|Herrod Wilkerson|Doktorat|Telekomunikacije|Suspendisse aliquet molestie|Hrvatski|Nema|09.08.1996
purus mauris a nunc. In at pede.|Andrew Sutton|Sudjelovanje na skupu|Strojarstvo|tincidunt|Hrvatski|Medjunarodna|14.04.1999
Vivamus nibh dolor, nonummy ac, feugiat non,|Garth Donovan|Sudjelovanje na skupu|Strojarstvo|fermentum|Hrvatski|Domaca|15.07.2002
egestas. Sed pharetra, felis eget varius ultrices,|Amery Whitehead|Knjiga|Elektrotehnika|mauris a|Hrvatski|Nema|08.07.2002
felis|Zeus Hardin|Doktorat|Racunarstvo|sociis|Hrvatski|Nema|27.02.2002
Phasellus at augue|Jack Schultz|Knjiga|Energetika|Quisque|Hrvatski|Domaca|15.02.2001
augue porttitor interdum.|Philip Frank|Zavrsni rad|Telekomunikacije|tellus lorem|Hrvatski|Nema|16.02.2004
ut erat. Sed nunc est, mollis non,|Yoshio Craig|Zavrsni rad|Elektrotehnika|elementum purus, accumsan|Hrvatski|Medjunarodna|22.02.2001
elit sed consequat auctor,|Derek Larsen|Doktorat|Strojarstvo|molestie arcu. Sed|Hrvatski|Nema|26.06.1997
est arcu ac orci. Ut semper pretium neque.|Yasir Nielsen|Zavrsni rad|Energetika|aliquam iaculis, lacus|Hrvatski|Domaca|27.12.2006
lobortis ultrices. Vivamus rhoncus.|Merrill Owen|Doktorat|Energetika|Proin ultrices. Duis|Hrvatski|Nema|13.11.1997
semper, dui lectus rutrum urna, nec|Mohammad Williams|Zavrsni rad|Strojarstvo|vel,|Hrvatski|Medjunarodna|26.05.1995
tincidunt, nunc ac mattis ornare, lectus ante|Howard Vargas|Sudjelovanje na skupu|Akustika|ac facilisis|Hrvatski|Domaca|06.12.1998
feugiat tellus lorem eu metus. In|Herman Barron|Doktorat|Racunarstvo|dolor elit,|Hrvatski|Medjunarodna|01.06.2005
elit, pellentesque a, facilisis|Acton Lamb|Sudjelovanje na skupu|Racunarstvo|tempor bibendum.|Hrvatski|Nema|03.04.2001
amet massa. Quisque porttitor eros|Davis Zimmerman|Doktorat|Telekomunikacije|sit|Hrvatski|Nema|24.05.1997
magna et|Flynn Carson|Knjiga|Racunarstvo|lectus quis|Hrvatski|Nema|26.07.1995
Nulla tempor augue ac ipsum.|Quinlan Chambers|Doktorat|Racunarstvo|eu tellus.|Hrvatski|Medjunarodna|19.11.2002
elementum, lorem ut aliquam iaculis, lacus pede sagittis|Gray Larson|Knjiga|Akustika|nibh|Hrvatski|Nema|12.03.2002
vitae aliquam eros turpis non enim. Mauris quis turpis|Kane Hebert|Knjiga|Telekomunikacije|Vivamus euismod urna.|Hrvatski|Domaca|28.05.2005
Curabitur vel lectus. Cum sociis natoque penatibus et magnis|Amery Sanders|Sudjelovanje na skupu|Energetika|vel|Hrvatski|Nema|25.07.1996
quam a|Castor Barton|Doktorat|Elektrotehnika|Fusce diam nunc,|Hrvatski|Medjunarodna|25.06.2005
ante lectus convallis est, vitae sodales nisi magna|Lionel Hester|Zavrsni rad|Telekomunikacije|dictum augue malesuada|Hrvatski|Medjunarodna|23.03.2002
est. Mauris eu turpis. Nulla aliquet. Proin|Alvin Holland|Knjiga|Akustika|augue|Hrvatski|Medjunarodna|26.09.1995
est. Mauris eu turpis. Nulla aliquet. Proin|Alvin Holland|Knjiga|Akustika|dictum augue malesuada|Hrvatski|Medjunarodna|26.09.1995
