Naslov rada|Ime autora|Prezime autora|Kategorija|Podrucje|Izdavac|Jezik|Recenzija|Datum izdanja
Curabitur egestas nunc sed libero.|Heather|Livingston|Paper|Electrical Engineering|pede. Cras vulputate|EN|Local|07/27/1997
vel est tempor bibendum. Donec felis orci, adipiscing non,|Alden|Campbell|Paper|Electrical Engineering|vestibulum,|HR|International|12/01/2002
ornare tortor at risus. Nunc ac|Chanda|Barker|Paper|Computer Science|porttitor eros|HR|None|07/12/2001
lacus, varius et, euismod et, commodo|Dillon|Mcmillan|Book|Computer Engineering|parturient montes, nascetur|SI|None|10/28/2001
malesuada malesuada. Integer id magna et ipsum cursus|Ciara|Santana|Phd Thesis|Electrical Engineering|magna.|HR|None|03/04/1993
pede et risus. Quisque libero lacus, varius et, euismod et,|Plato|Morin|Book|Computer Engineering|luctus|EN|Local|10/04/2000
dictum eu, placerat eget, venenatis|Giacomo|Rivas|Phd Thesis|Computer Engineering|cursus a, enim.|EN|International|04/30/1994
lorem. Donec elementum, lorem|Adara|Waller|Paper|Computer Science|orci,|SE|Local|12/10/2006
eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin|Flavia|Reid|Paper|Electrical Engineering|Sed auctor odio|EN|Local|10/28/2002
ac mattis velit justo nec ante. Maecenas|Mason|Shaw|Book|Computer Engineering|nisl sem,|EN|None|05/08/1999
hendrerit consectetuer, cursus et, magna.|Yolanda|Tillman|Book|Electrical Engineering|semper pretium|SI|Local|01/10/2005
viverra.|Jillian|Alvarez|Book|Computer Engineering|scelerisque dui.|SE|Local|08/08/1997
vel arcu eu odio tristique|Jerry|Buchanan|Book|Computer Engineering|dui.|SE|None|06/15/2005
Aliquam erat volutpat. Nulla|Hoyt|Snider|Paper|Computer Science|magna. Phasellus|SI|Local|10/06/1999
mi|Charde|Scott|Paper|Electrical Engineering|Suspendisse commodo|HR|None|09/18/1994
non, bibendum sed, est. Nunc laoreet lectus quis massa.|Ashton|Cochran|Masters Thesis|Computer Science|Aenean sed|EN|Local|08/14/1998
sed consequat auctor, nunc nulla|Ross|Juarez|Paper|Electrical Engineering|blandit. Nam nulla|DE|International|06/24/1995
lorem.|Chiquita|Morse|Paper|Computer Engineering|nibh.|HR|Local|04/28/1998
Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a|Xyla|Anthony|Book|Computer Science|Phasellus|DE|International|03/03/2000
fermentum fermentum arcu. Vestibulum ante ipsum primis|Zephania|Snyder|Masters Thesis|Electrical Engineering|faucibus. Morbi vehicula.|EN|Local|02/17/1998
est, vitae sodales nisi magna sed dui. Fusce aliquam,|Uriah|Odonnell|Book|Electrical Engineering|congue|DE|None|04/08/1994
gravida sit amet,|Odette|Farmer|Paper|Electrical Engineering|cursus luctus, ipsum|DE|International|09/26/2000
non, egestas a, dui.|Vernon|Fisher|Phd Thesis|Electrical Engineering|a nunc. In|HR|Local|06/02/1997
Fusce mi lorem, vehicula et,|Zena|Morales|Paper|Computer Science|risus. Nunc ac|EN|Local|07/10/2001
elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu|Lucas|Hayes|Phd Thesis|Electrical Engineering|purus,|SI|International|03/20/2002
tellus, imperdiet|Erica|Moreno|Paper|Computer Engineering|bibendum|EN|International|08/17/2003
quis massa. Mauris vestibulum,|Darryl|Heath|Phd Thesis|Computer Engineering|Donec porttitor|EN|International|04/15/2006
nibh enim, gravida sit amet, dapibus id,|Demetria|Britt|Masters Thesis|Computer Science|Cras|SE|Local|12/01/1994
nisl sem, consequat|Alexis|Snow|Masters Thesis|Computer Engineering|quis,|DE|International|01/24/1996
aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare|Anjolie|Burks|Masters Thesis|Computer Engineering|eu odio|HR|International|01/18/2003
mattis. Cras|Kaseem|Holden|Paper|Computer Science|est|HR|International|02/22/2003
nec ligula consectetuer rhoncus. Nullam velit dui,|Sonia|Stevenson|Paper|Electrical Engineering|Praesent|SE|International|07/10/2001
arcu eu odio tristique pharetra. Quisque ac libero nec ligula|Xerxes|Holder|Book|Electrical Engineering|orci.|SE|Local|08/11/2000
est ac facilisis facilisis,|Sarah|Mitchell|Phd Thesis|Electrical Engineering|malesuada fringilla est.|EN|None|10/19/2000
Curabitur consequat, lectus|Jakeem|Trujillo|Phd Thesis|Electrical Engineering|cursus.|EN|None|07/29/1993
Maecenas iaculis aliquet diam.|Lydia|Bolton|Paper|Computer Science|mauris, aliquam eu,|EN|International|05/12/1999
rhoncus id, mollis nec, cursus a, enim. Suspendisse|Alvin|Sanders|Phd Thesis|Electrical Engineering|eu dolor egestas|HR|Local|05/04/1994
Curabitur ut odio vel|Janna|Gamble|Paper|Computer Science|commodo hendrerit. Donec|HR|Local|01/27/1997
aliquet nec, imperdiet|Linda|Donaldson|Phd Thesis|Computer Science|Proin|HR|Local|02/08/1995
fermentum risus, at fringilla purus|Priscilla|Levine|Phd Thesis|Computer Engineering|vestibulum nec, euismod|EN|None|04/29/1996
neque|Blake|Boone|Paper|Electrical Engineering|Vivamus sit amet|SI|None|07/06/1995
ante ipsum primis in faucibus orci luctus et|Xantha|Browning|Phd Thesis|Computer Science|mauris eu|SI|None|07/02/2003
magna. Duis dignissim tempor arcu. Vestibulum ut eros non|Hiram|York|Book|Computer Science|sollicitudin adipiscing|SE|None|09/21/1996
pharetra. Nam ac nulla. In tincidunt congue turpis.|Stephanie|Reid|Paper|Electrical Engineering|euismod ac,|SI|International|09/08/1997
ac nulla. In tincidunt congue turpis. In condimentum. Donec|Akeem|Mendoza|Phd Thesis|Computer Science|est|SE|None|01/06/2002
nec, mollis vitae, posuere at, velit. Cras lorem|Montana|Cabrera|Phd Thesis|Electrical Engineering|urna|DE|International|01/03/2002
Curabitur ut odio vel est|Abigail|Mayo|Phd Thesis|Computer Science|et|SE|International|07/29/2002
hendrerit a, arcu. Sed et libero. Proin mi. Aliquam|Imogene|Jarvis|Book|Computer Science|metus eu erat|DE|None|02/16/2007
eu enim. Etiam imperdiet dictum|Whoopi|Cardenas|Paper|Computer Science|tristique|HR|None|07/11/2000
Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu|Aidan|Kent|Masters Thesis|Computer Science|Duis sit|DE|Local|05/02/2005
lacinia at, iaculis quis, pede.|Halla|Mcintosh|Phd Thesis|Electrical Engineering|arcu. Nunc|SI|None|01/16/2007
enim nisl elementum purus, accumsan|Felicia|Stevenson|Paper|Computer Engineering|pretium|SE|None|06/16/2001
consectetuer adipiscing elit. Etiam|Quynn|Downs|Phd Thesis|Electrical Engineering|facilisis vitae, orci.|EN|International|01/30/2005
lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu|Hillary|Brooks|Masters Thesis|Computer Science|consectetuer adipiscing elit.|DE|International|06/10/2004
pharetra, felis eget varius|Malik|York|Masters Thesis|Electrical Engineering|et arcu|HR|Local|12/02/1995
eu lacus. Quisque imperdiet, erat nonummy|Amy|Rowe|Book|Electrical Engineering|ligula. Nullam|EN|International|11/25/1996
nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet.|Kaye|Mclaughlin|Paper|Computer Science|Suspendisse|DE|International|12/19/2004
in magna. Phasellus dolor elit, pellentesque a,|Destiny|Flores|Book|Computer Engineering|Quisque imperdiet,|SI|None|09/16/2006
in lobortis tellus justo sit amet nulla. Donec non justo.|Sydney|Wood|Paper|Computer Engineering|Duis sit|EN|Local|05/21/1999
augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum.|Moses|Strong|Paper|Computer Science|justo sit amet|DE|None|01/24/1999
luctus et ultrices posuere cubilia Curae; Donec tincidunt.|Tashya|Barker|Book|Computer Science|Donec|SI|None|08/22/1999
ridiculus mus. Proin vel arcu|Carter|Patterson|Book|Computer Science|Curabitur vel|SI|Local|05/10/1994
egestas hendrerit|Nehru|Murray|Book|Computer Engineering|eget lacus. Mauris|HR|International|05/01/2000
pede|Bevis|Meyers|Masters Thesis|Computer Science|Duis|HR|Local|10/01/2000
nibh dolor, nonummy ac, feugiat non, lobortis quis,|Magee|Macias|Paper|Electrical Engineering|mauris. Morbi non|HR|Local|10/29/2000
risus. Donec nibh enim, gravida sit amet,|Isabella|Stanley|Masters Thesis|Computer Engineering|Nunc|HR|Local|08/05/2002
iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus.|Lilah|Foley|Phd Thesis|Computer Engineering|eget nisi dictum|SI|Local|08/05/2005
iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus.|Lilah|Foley|Phd Thesis|Computer Engineering|Donec|SI|Local|08/05/2005
